No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,154,8,26,0,204,1.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,156,179,11,148,12,506,3.1 %
03,03 - Capitale-Nationale,7,649,432,41,489,37,1655,10.2 %
04,04 - Mauricie et Centre-du-Québec,4,157,768,22,114,5,1070,6.6 %
05,05 - Estrie,4,191,234,26,192,16,663,4.1 %
06,06 - Montréal,219,2854,1488,160,819,81,5621,34.5 %
07,07 - Outaouais,11,97,135,15,68,5,331,2.0 %
08,08 - Abitibi-Témiscamingue,3,40,56,6,19,1,125,0.8 %
09,09 - Côte-Nord,0,0,56,0,1,0,57,0.4 %
10,10 - Nord-du-Québec,0,0,6,0,0,0,6,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,57,0,13,0,86,0.5 %
12,12 - Chaudière-Appalaches,5,174,309,11,201,6,706,4.3 %
13,13 - Laval,6,556,294,59,222,12,1149,7.1 %
14,14 - Lanaudière,3,331,283,26,184,5,832,5.1 %
15,15 - Laurentides,63,267,304,65,115,14,828,5.1 %
16,16 - Montérégie,16,733,933,78,636,13,2409,14.8 %
17,17 - Nunavik,0,0,11,0,0,0,11,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,16,0,0,1,17,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),344,6234,5717,528,3247,208,16278,
9999,Ensemble du Québec (%),2.1 %,38.3 %,35.1 %,3.2 %,19.9 %,1.3 %,.,100.0 %

