No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,2,4,4,6,0,19,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,48,42,1,29,6,127,1.8 %
3,03 - Capitale-Nationale,3,248,81,4,93,7,436,6.2 %
4,04 - Mauricie et Centre-du-Québec,6,124,63,18,57,5,273,3.9 %
5,05 - Estrie,1,17,14,1,25,6,64,0.9 %
6,06 - Montréal,191,2474,364,104,443,45,3621,51.3 %
7,07 - Outaouais,6,21,16,10,23,4,80,1.1 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,13,0,13,0,40,0.6 %
12,12 - Chaudière-Appalaches,5,43,31,6,44,4,133,1.9 %
13,13 - Laval,2,472,65,43,137,6,725,10.3 %
14,14 - Lanaudière,3,188,57,6,70,3,327,4.6 %
15,15 - Laurentides,59,118,56,30,61,12,336,4.8 %
16,16 - Montérégie,13,398,154,39,251,13,868,12.3 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),293,4167,965,266,1253,112,7056,
9999,Ensemble du Québec (%),4.2 %,59.1 %,13.7 %,3.8 %,17.8 %,1.6 %,           .,100.0 %
