Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;12117
02 - Saguenay – Lac-Saint-Jean;14236
03 - Capitale-Nationale;41963
04 - Mauricie-et-Centre-du-Québec;26876
05 - Estrie;21176
06 - Montréal;171 565
07 - Outaouais;13306
08 - Abitibi-Témiscamingue;11875
09 - Côte-Nord;17 469
10 - Nord-du-Québec;8362
11 - Gaspésie – Îles-de-la-Madeleine;9995
12 - Chaudière-Appalaches;23035
13 - Laval;26064
14 - Lanaudière;25705
15 - Laurentides;25234
16 - Montérégie;66258
17 - Nunavik;4764
18 - Terres-Cries-de-la-Baie-James;10336
Inconnu;1676
Total;532 012
