,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1576,6,1558,18,30,0,1511,35,196934.5,800.27,17.79,15.23
02,02 - Saguenay-Lac-Saint-Jean,8838,4,8648,190,264,0,8557,17,277505,3184.81,6.13,95.13
03,03 - Capitale-Nationale,22615,26,22279,336,991,1,21294,330,757803,2984.28,43.41,130.77
04,04 - Mauricie et Centre-du-Québec,12868,18,12637,231,508,0,12198,162,523331.5,2458.86,30.90,97.07
05,05 - Estrie,11673,16,11218,455,306,1,11158,209,494966.5,2358.34,42.07,61.82
06,06 - Montréal,108088,338,105226,2862,4536,4,100021,3531,2072060.5,5216.45,169.89,218.91
07,07 - Outaouais,6445,20,6033,412,163,0,6059,223,402744,1600.27,55.14,40.47
08,08 - Abitibi-Témiscamingue,870,9,837,33,7,0,812,51,147637,589.28,34.54,4.74
09,09 - Côte-Nord,354,0,339,15,3,0,351,0,89700.5,394.65,0.00,3.34
10,10 - Nord-du-Québec,87,0,85,2,0,0,87,0,13521.5,643.42,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1712,3,1693,19,45,0,1661,6,89823,1905.97,6.69,50.10
12,12 - Chaudière-Appalaches,11730,3,11465,265,288,0,11389,53,431109.5,2720.89,12.27,66.80
13,13 - Laval,25170,96,23628,1542,871,0,23533,766,444658.5,5660.52,171.53,195.88
14,14 - Lanaudière,20611,66,19901,710,494,2,19552,565,522367,3945.69,107.69,94.57
15,15 - Laurentides,16667,60,16066,601,473,0,15742,452,630238,2644.56,71.35,75.05
16,16 - Montérégie,42199,84,40434,1765,1484,2,39908,807,1438226,2934.10,55.90,103.18
17,17 - Nunavik,44,0,42,2,0,0,42,2,14336.5,306.91,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,2,0,116,1,18507,643.00,5.37,10.81
98,Inconnu,4,0,4,0,0,0,4,0,.,.,.,.
99,Hors Québec,254,0,250,4,0,0,250,4,.,.,.,.
999,Ensemble du Québec,291924,749,282462,9462,10465,10,274245,7214,8565469.5,3408.15,83.96,122.18

