,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2022,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,27682,49,213,227,1,4,197738.33333,.,.,1643,9,23
02,02 - Saguenay-Lac-Saint-Jean,38636,104,443,550,1,3,278600,.,.,2447,9,39
03,03 - Capitale-Nationale,107563,146,772,1770,2,2,761103.66667,.,.,6511,16,92
04,04 - Mauricie et Centre-du-Québec,72409,77,415,1219,0,3,527666.66667,.,.,5185,19,54
05,05 - Estrie,62327,82,392,782,0,3,502406,.,.,4192,15,69
06,06 - Montréal,349020,226,1454,5795,3,11,2061667.3333,.,.,21111,40,236
07,07 - Outaouais,43919,21,168,386,0,5,405378.66667,.,.,2713,2,34
08,08 - Abitibi-Témiscamingue,13821,37,151,136,0,1,147876.33333,.,.,1124,2,25
09,09 - Côte-Nord,12387,24,177,62,0,1,90082.333333,.,.,921,4,30
10,10 - Nord-du-Québec,1820,3,18,6,0,0,13383.666667,.,.,87,1,4
11,11 - Gaspésie-Îles-de-la-Madeleine,12500,38,162,93,0,0,90783.333333,.,.,778,6,19
12,12 - Chaudière-Appalaches,73750,61,328,759,0,5,434525.66667,.,.,3915,5,53
13,13 - Laval,80491,64,628,1223,4,8,445993.33333,.,.,4461,20,67
14,14 - Lanaudière,81770,80,489,895,1,5,530581,.,.,4147,13,41
15,15 - Laurentides,95429,98,522,952,0,7,640046.66667,.,.,5915,17,75
16,16 - Montérégie,179157,179,1209,2610,0,18,1452381.3333,.,.,12511,30,194
17,17 - Nunavik,3529,2,21,11,0,0,14619,.,.,148,0,0
18,18 - Terres-Cries-de-la-Baie-James,2905,1,18,19,0,0,18660.333333,.,.,150,0,1
98,Inconnu,1191,3,16,0,0,0,.,.,.,534,2,7
99,Hors Québec,7255,5,15,2,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1267561,1300,7611,17497,12,76,8613493.6667,.,.,78493,210,1063

