Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;4960
02 - Saguenay – Lac-Saint-Jean;8215
03 - Capitale-Nationale;24683
04 - Mauricie-et-Centre-du-Québec;13659
05 - Estrie;11064
06 - Montréal;56799
07 - Outaouais;8453
08 - Abitibi-Témiscamingue;5487
09 - Côte-Nord;6705
10 - Nord-du-Québec;5151
11 - Gaspésie – Îles-de-la-Madeleine;6323
12 - Chaudière-Appalaches;10710
13 - Laval;9638
14 - Lanaudière;11188
15 - Laurentides;12417
16 - Montérégie;34789
17 - Nunavik;884
18 - Terres-Cries-de-la-Baie-James;9107
Inconnu;598
Total;240 830
