,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1471,1,1455,16,30,0,1425,16,196934.5,746.95,8.13,15.23
02,02 - Saguenay–Lac-Saint-Jean,8763,1,8575,188,262,0,8426,75,277505,3157.78,27.04,94.41
03,03 - Capitale-Nationale,21524,61,21198,326,935,8,19830,759,757803,2840.32,99.85,123.38
04,04 - Mauricie et Centre-du-Québec,12264,30,12037,227,456,5,11265,543,523331.5,2343.45,103.56,87.13
05,05 - Estrie,10651,17,10238,413,279,2,9983,389,494966.5,2151.86,78.31,56.37
06,06 - Montréal,95399,536,92564,2835,4333,6,85239,5827,2072060.5,4604.06,280.35,209.12
07,07 - Outaouais,5865,19,5481,384,153,0,5583,129,402744,1456.26,31.89,37.99
08,08 - Abitibi-Témiscamingue,710,3,677,33,5,0,668,37,147637,480.91,25.06,3.39
09,09 - Côte-Nord,342,0,328,14,3,0,337,2,89700.5,381.27,2.24,3.34
10,10 - Nord-du-Québec,87,0,85,2,0,0,87,0,13521.5,643.42,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1685,0,1666,19,45,0,1639,1,89823,1875.91,1.12,50.10
12,12 - Chaudière-Appalaches,11047,22,10785,262,262,2,10400,385,431109.5,2562.46,89.14,60.77
13,13 - Laval,22343,66,20889,1454,837,2,20442,1064,444658.5,5024.75,238.26,188.23
14,14 - Lanaudière,18815,67,18105,710,468,0,17529,818,522367,3601.87,155.92,89.59
15,15 - Laurentides,14729,53,14132,597,441,2,13515,773,630238,2337.05,122.02,69.97
16,16 - Montérégie,38441,175,36881,1560,1351,9,34807,2283,1438226,2672.81,158.14,93.94
17,17 - Nunavik,39,0,37,2,0,0,37,2,14336.5,272.03,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,114,0,114,0,2,0,95,17,18507,615.98,91.26,10.81
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,233,2,229,4,0,0,226,7,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,264526,1053,255480,9046,9862,36,241537,13127,8565469.5,3088.28,152.78,115.14
