No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay – Lac-St-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,3,97, 7,,28,,,135,"2,7%"
4,04 - Mauricie - Centre du Québec,5,121, 26,12,41,,,205,"4,2%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montréal,167,2132, 240,67,409,26,6,3047,"61,7%"
7,07 - Outaouais,4,14, 3,4,,,,25,"0,5%"
8,08 - Abitibi-Témiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Côte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,,0,"0,0%"
11,11 - Gaspésie - Îles-de-la-Madeleine,,2, 1,,5,,,8,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,2,422, 48,40,116,5,,633,"12,8%"
14,14 - Lanaudière,3,104, 35,5,48,,,195,"4,0%"
15,15 - Laurentides,29,69, 7,15,31,,,151,"3,1%"
16,16 - Montérégie,17,191, 74,24,156,7,2,471,"9,5%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Québec (n),232,3174, 451,167,857,46,8,4935,
9999,Ensemble du Québec (%),"4,7%","64,3%","9,1%","3,4%","17,4%","0,9%","0,2%",,"100,0%"
