,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1175,3,1162,13,24,0,1054,97,197074,596.22,49.22,12.18
02,02 - Saguenay–Lac-Saint-Jean,6989,77,6821,168,193,3,6045,751,277632,2517.36,270.50,69.52
03,03 - Capitale-Nationale,15683,161,15405,278,583,2,12950,2150,755459,2075.96,284.60,77.17
04,04 - Mauricie et Centre-du-Québec,8738,57,8525,213,329,3,7367,1042,522341,1672.85,199.49,62.99
05,05 - Estrie,6829,88,6485,344,124,1,5607,1098,493163,1384.73,222.64,25.14
06,06 - Montréal,62828,708,60057,2771,3761,12,53007,6060,2065657,3041.55,293.37,182.07
07,07 - Outaouais,4319,67,4020,299,99,2,3816,404,401032,1076.97,100.74,24.69
08,08 - Abitibi-Témiscamingue,317,4,284,33,4,0,295,18,147616,214.75,12.19,2.71
09,09 - Côte-Nord,270,7,257,13,3,0,231,36,90033,299.89,39.99,3.33
10,10 - Nord-du-Québec,64,1,62,2,0,0,58,6,13558,472.05,44.25,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1531,3,1512,19,42,0,1437,52,89998,1701.15,57.78,46.67
12,12 - Chaudière-Appalaches,7242,93,6996,246,161,0,6233,848,430309,1682.98,197.07,37.41
13,13 - Laval,14565,302,13278,1287,738,0,12377,1450,442745,3289.70,327.50,166.69
14,14 - Lanaudière,13791,158,13086,705,378,0,12168,1245,520092,2651.65,239.38,72.68
15,15 - Laurentides,9576,115,8977,599,350,1,8494,732,626968,1527.35,116.75,55.82
16,16 - Montérégie,24984,262,23556,1428,976,6,21549,2459,1432751,1743.78,171.63,68.12
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,18,0,18,0,1,0,15,2,18385,97.91,10.88,5.44
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,141,2,139,2,0,0,133,8,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,179093,2108,170671,8422,7766,30,152869,18458,8539073,2097.34,216.16,90.95
