Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;4177
02 - Saguenay – Lac-Saint-Jean;7570
03 - Capitale-Nationale;20855
04 - Mauricie-et-Centre-du-Québec;11810
05 - Estrie;9962
06 - Montréal;48768
07 - Outaouais;8256
08 - Abitibi-Témiscamingue;5031
09 - Côte-Nord;5717
10 - Nord-du-Québec;1519
11 - Gaspésie – Îles-de-la-Madeleine;5081
11 - Îles-de-la-Madeleine;1272
12 - Chaudière-Appalaches;10599
13 - Laval;9157
14 - Lanaudière;8958
15 - Laurentides;12005
16 - Montérégie;29448
17 - Nunavik;471
18 - Terres-Cries-de-la-Baie-James;7858
Opitciwan;590
Wemotaci;361
Manawan;787
Total;210 252
