RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,165,0,0,0,165,1239,629.59,"84,2","75,0"
02 - Saguenay–Lac-Saint-Jean,60,0,2,0,62,989,356.55,"98,4","96,7"
03 - Capitale-Nationale,622,3,8,0,633,7946,"1,045.32","100,0","85,5"
04 - Mauricie et Centre-du-Québec,94,0,0,1,95,1338,255.19,"77,3","82,4"
05 - Estrie,92,0,15,1,108,2375,478.09,"98,1","88,5"
06 - Montréal,3219,107,181,16,3523,13902,668.86,"89,9","86,1"
07 - Outaouais,448,16,33,0,497,3760,929.64,"100,0","87,1"
08 - Abitibi-Témiscamingue,0,177,0,0,177,247,167.28,"100,0","100,0"
09 - Côte-Nord,6,0,0,0,6,150,167.85,"100,0","100,0"
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,7,0,0,0,7,174,194.09,"100,0","100,0"
12 - Chaudière-Appalaches,439,2,11,0,452,3374,781.18,"97,2","84,1"
13 - Laval,412,13,18,1,444,3137,702.46,"95,0","87,7"
14 - Lanaudière,271,28,11,0,310,1669,318.12,"93,0","90,0"
15 - Laurentides,427,14,47,0,488,2484,392.10,"84,9","77,4"
16 - Montérégie,312,15,116,7,450,4272,295.91,"94,2","90,3"
Inconnu,0,1,0,0,1,718,,.,.
Hors Québec,47,9,2,2,60,100,,.,.
Ensemble du Québec,6621,386,444,28,7479,47890,557.39,"92,7","86,9"
