Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;n.d.;89;81;4700;4278,9;0;;0;
5-9 ans;n.d.;87;80,9;6222;5783,6;0;;0;
10-19 ans;n.d.;267;134,2;14388;7233,2;0;;0;
20-29 ans;n.d.;327;100,4;22178;6811,9;0;;< 5;n.p.
30-39 ans;n.d.;235;71,6;20183;6149,4;0;;7;n.p.
40-49 ans;n.d.;210;75,6;19605;7062,4;0;;22;* 7,9
50-59 ans;n.d.;152;59,3;16118;6283,8;0;;100;39
60-69 ans;n.d.;70;32,4;9849;4552,7;< 5;n.p.;324;149,8
70-79 ans;n.d.;34;* 23,5;6423;4444,7;< 5;n.p.;828;573
80 ans et +;n.d.;22;* 21,9;11926;11855,9;11;* 10,9;3463;3442,7
Manquant;n.d.;0;;93;;0;;0;
Total;66;1493;72,3;131685;6375;14;* 0,7;4747;229,8
