No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,3,0,2,0,8,0.1 %
2,02 - Saguenay–Lac-Saint-Jean,1,26,14,0,2,6,49,0.8 %
3,03 - Capitale-Nationale,2,187,72,3,70,3,337,5.3 %
4,04 - Mauricie et Centre-du-Québec,6,124,39,12,46,2,229,3.6 %
5,05 - Estrie,1,12,10,0,19,3,45,0.7 %
6,06 - Montréal,189,2451,334,102,430,35,3541,55.5 %
7,07 - Outaouais,5,19,7,7,11,2,51,0.8 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,12,11,0,5,0,28,0.4 %
12,12 - Chaudière-Appalaches,5,12,24,6,31,3,81,1.3 %
13,13 - Laval,2,470,60,41,131,7,711,11.1 %
14,14 - Lanaudière,3,129,46,6,53,0,237,3.7 %
15,15 - Laurentides,59,104,49,30,60,8,310,4.9 %
16,16 - Montérégie,12,329,130,35,226,12,744,11.7 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),288,3875,804,242,1087,82,6378,
9999,Ensemble du Québec (%),4.5 %,60.8 %,12.6 %,3.8 %,17.0 %,1.3 %,           .,100.0 %
