No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,7,4,4,6,0,24,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,64,62,1,56,6,190,2.5 %
3,03 - Capitale-Nationale,3,308,92,6,156,16,581,7.5 %
4,04 - Mauricie et Centre-du-Québec,6,124,96,20,75,5,326,4.2 %
5,05 - Estrie,2,61,18,3,33,6,123,1.6 %
6,06 - Montréal,198,2529,402,107,464,49,3749,48.5 %
7,07 - Outaouais,7,25,24,11,30,0,97,1.3 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,15,0,13,0,42,0.5 %
12,12 - Chaudière-Appalaches,5,57,41,6,48,4,161,2.1 %
13,13 - Laval,2,472,70,43,145,6,738,9.5 %
14,14 - Lanaudière,3,214,69,7,83,2,378,4.9 %
15,15 - Laurentides,59,124,61,30,63,12,349,4.5 %
16,16 - Montérégie,13,454,171,45,274,13,970,12.5 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),302,4453,1131,283,1447,120,7736,
9999,Ensemble du Québec (%),3.9 %,57.6 %,14.6 %,3.7 %,18.7 %,1.6 %,           .,100.0 %
