,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1172,11,1159,13,24,0,1041,107,197074,594.70,54.29,12.18
02,02 - Saguenay–Lac-Saint-Jean,6912,147,6744,168,190,0,5973,749,277632,2489.63,269.78,68.44
03,03 - Capitale-Nationale,15522,147,15245,277,581,3,12742,2199,755459,2054.64,291.08,76.91
04,04 - Mauricie et Centre-du-Québec,8681,99,8469,212,326,0,7270,1085,522341,1661.94,207.72,62.41
05,05 - Estrie,6741,115,6397,344,123,2,5531,1087,493163,1366.89,220.41,24.94
06,06 - Montréal,62120,786,59349,2771,3749,0,52424,5947,2065657,3007.28,287.90,181.49
07,07 - Outaouais,4252,55,3953,299,97,0,3796,359,401032,1060.26,89.52,24.19
08,08 - Abitibi-Témiscamingue,313,3,280,33,4,0,295,14,147616,212.04,9.48,2.71
09,09 - Côte-Nord,263,3,250,13,3,0,225,35,90033,292.12,38.87,3.33
10,10 - Nord-du-Québec,63,2,61,2,0,0,57,6,13558,464.67,44.25,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1528,5,1509,19,42,0,1426,60,89998,1697.82,66.67,46.67
12,12 - Chaudière-Appalaches,7149,94,6903,246,161,1,6151,837,430309,1661.36,194.51,37.41
13,13 - Laval,14263,121,12983,1280,738,0,12232,1293,442745,3221.49,292.04,166.69
14,14 - Lanaudière,13633,107,12928,705,378,5,12021,1234,520092,2621.27,237.27,72.68
15,15 - Laurentides,9461,119,8862,599,349,1,8411,701,626968,1509.01,111.81,55.66
16,16 - Montérégie,24722,331,23303,1419,970,9,21268,2484,1432751,1725.49,173.37,67.70
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,18,1,18,0,1,0,15,2,18385,97.91,10.88,5.44
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,139,0,137,2,0,0,133,6,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,176985,2146,168581,8404,7736,21,151044,18205,8539073,2072.65,213.20,90.60
