No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,171,8,26,0,221,1.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,168,199,11,155,12,545,3.1 %
03,03 - Capitale-Nationale,9,677,487,42,507,41,1763,10.2 %
04,04 - Mauricie et Centre-du-Québec,4,158,912,23,114,5,1216,7.0 %
05,05 - Estrie,4,213,299,29,217,17,779,4.5 %
06,06 - Montréal,219,2895,1561,162,844,82,5763,33.2 %
07,07 - Outaouais,11,105,162,17,75,9,379,2.2 %
08,08 - Abitibi-Témiscamingue,3,42,62,6,20,1,134,0.8 %
09,09 - Côte-Nord,0,0,60,0,1,0,61,0.4 %
10,10 - Nord-du-Québec,0,0,6,0,0,0,6,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,64,0,13,0,93,0.5 %
12,12 - Chaudière-Appalaches,5,198,325,11,206,7,752,4.3 %
13,13 - Laval,6,571,329,62,228,12,1208,7.0 %
14,14 - Lanaudière,3,346,316,26,190,6,887,5.1 %
15,15 - Laurentides,64,289,375,69,131,14,942,5.4 %
16,16 - Montérégie,16,738,1088,80,645,13,2580,14.9 %
17,17 - Nunavik,0,0,11,0,0,0,11,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,18,0,0,1,19,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),347,6429,6447,546,3372,220,17361,
9999,Ensemble du Québec (%),2.0 %,37.0 %,37.1 %,3.1 %,19.4 %,1.3 %,.,100.0 %

