No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,7,4,4,6,0,24,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,74,70,2,80,8,235,2.7 %
3,03 - Capitale-Nationale,3,398,105,9,226,18,759,8.7 %
4,04 - Mauricie et Centre-du-Québec,6,127,138,20,89,5,385,4.4 %
5,05 - Estrie,1,103,27,10,55,9,205,2.4 %
6,06 - Montréal,199,2593,494,113,524,54,3977,45.8 %
7,07 - Outaouais,7,46,31,11,37,1,133,1.5 %
8,08 - Abitibi-Témiscamingue,0,0,4,0,1,0,5,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,16,0,13,0,43,0.5 %
12,12 - Chaudière-Appalaches,5,81,49,6,59,4,204,2.3 %
13,13 - Laval,2,476,96,50,153,6,783,9.0 %
14,14 - Lanaudière,3,229,83,7,87,2,411,4.7 %
15,15 - Laurentides,59,138,68,35,67,12,379,4.4 %
16,16 - Montérégie,13,522,211,48,331,13,1138,13.1 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),302,4808,1400,315,1728,133,8686,
9999,Ensemble du Québec (%),3.5 %,55.4 %,16.1 %,3.6 %,19.9 %,1.5 %,           .,100.0 %
