Regions;Number of administered doses of the vaccine
01-   Bas-Saint-Laurent;2111
02 - Saguenay – Lac-Saint-Jean;3305
03 - Capitale-Nationale;9669
04 - Mauricie-et-Centre-du-Québec;3823
05 - Estrie;2748
06 - Montréal;24280
07 - Outaouais;3246
08 - Abitibi-Témiscamingue;1610
09 - Côte-Nord;1729
10 - Nord-du-Québec;106
11 - Gaspésie – Îles-de-la-Madeleine;2340
11 - Îles-de-la-Madeleine;301
12 - Chaudière-Appalaches;3986
13 - Laval;3523
14 - Lanaudière;3507
15 - Laurentides;3956
16 - Montérégie;12328
18 - Terres-Cries-de-la-Baie-James;998
Opitciwan;540
Wemotaci;281
Total;84387
