Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;353;1,3;318,4;0;
5-9 ans;316;1,1;292,7;0;
10-19 ans;1098;3,9;552,1;0;
20-29 ans;3568;12,7;1107,7;< 5;n.p.
30-39 ans;3638;13;1107,3;< 5;n.p.
40-49 ans;3852;13,8;1383,9;15;*5,4
50-59 ans;3474;12,4;1353,5;67;26,1
60-69 ans;2408;8,6;1111,9;219;101,1
70-79 ans;2416;8,6;1669,6;593;409,8
80 ans et +;6869;24,5;6798,2;2533;2506,9
Manquant;83;;;;
Total;28075;;1359,1;3434;166,2
