"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;35552
02 - Saguenay - Lac-Saint-Jean;51880
03 - Capitale-Nationale;135891
04 - Mauricie et Centre-du-Québec;97331
05 - Estrie;82330
06 - Montréal;508826
07 - Outaouais;66612
08 - Abitibi-Témiscamingue;25166
09 - Côte-Nord;30405
10 - Nord-du-Québec;9245
11 - Gaspésie - Îles-de-la-Madeleine;28831
12 - Chaudière-Appalaches;71827
13 - Laval;86666
14 - Lanaudière;91788
15 - Laurentides;102782
16 - Montérégie;239135
17 - Nunavik;5884
18 - Terres-Cries-de-la-Baie-James;13066
Inconnue;1829
Total;1685046
