RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,439,223.07
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,33,11.90
03 - Capitale-Nationale,51,1,0,0,52,2971,390.85
04 - Mauricie et Centre-du-Québec,3,0,0,0,3,154,29.37
05 - Estrie,24,0,0,0,24,185,37.24
06 - Montréal,983,7,1,5,996,4278,205.83
07 - Outaouais,39,0,0,5,44,979,242.05
08 - Abitibi-Témiscamingue,0,128,0,0,128,193,130.71
09 - Côte-Nord,0,0,0,0,0,10,11.19
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,4,4.46
12 - Chaudière-Appalaches,12,0,0,0,12,696,161.14
13 - Laval,98,3,0,1,102,976,218.55
14 - Lanaudière,58,5,0,0,63,400,76.24
15 - Laurentides,101,6,1,0,108,611,96.45
16 - Montérégie,49,3,0,0,52,747,51.74
Inconnu,0,1,0,0,1,483,
Hors Québec,12,0,0,1,13,18,
Ensemble du Québec,1430,154,2,12,1598,13177,153.37
