,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2022,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,24593,39,289,202,0,1,197738.33333,.,.,1227,7,35
02,02 - Saguenay-Lac-Saint-Jean,34291,49,261,497,0,4,278600,.,.,1923,10,40
03,03 - Capitale-Nationale,99033,76,521,1648,2,11,761103.66667,.,.,5246,9,68
04,04 - Mauricie et Centre-du-Québec,65335,86,500,1057,2,5,527666.66667,.,.,3967,14,93
05,05 - Estrie,56001,84,549,660,1,7,502406,.,.,3348,8,71
06,06 - Montréal,327637,283,1535,5608,4,13,2061667.3333,.,.,18002,35,160
07,07 - Outaouais,40702,29,232,330,0,3,405378.66667,.,.,2192,6,52
08,08 - Abitibi-Témiscamingue,12001,32,139,123,0,1,147876.33333,.,.,849,0,18
09,09 - Côte-Nord,10714,17,123,53,0,0,90082.333333,.,.,717,5,10
10,10 - Nord-du-Québec,1595,1,12,6,0,0,13383.666667,.,.,66,0,2
11,11 - Gaspésie-Îles-de-la-Madeleine,11107,21,232,83,0,1,90783.333333,.,.,598,3,27
12,12 - Chaudière-Appalaches,68482,49,426,699,3,0,434525.66667,.,.,3077,10,61
13,13 - Laval,75685,66,352,1145,0,1,445993.33333,.,.,3756,17,42
14,14 - Lanaudière,75520,76,374,828,0,4,530581,.,.,3346,10,37
15,15 - Laurentides,87109,118,579,818,0,8,640046.66667,.,.,4681,10,115
16,16 - Montérégie,162521,214,1070,2390,2,27,1452381.3333,.,.,9790,39,160
17,17 - Nunavik,3313,4,20,11,0,0,14619,.,.,127,0,2
18,18 - Terres-Cries-de-la-Baie-James,2736,9,15,19,0,0,18660.333333,.,.,128,2,1
98,Inconnu,1060,3,7,0,0,0,.,.,.,476,3,9
99,Hors Québec,6955,6,41,2,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1166390,1262,7277,16179,14,86,8613493.6667,.,.,63516,188,1003

