No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,152,8,26,0,202,1.2 %
02,02 - Saguenay-Lac-Saint-Jean,0,151,176,11,147,12,497,3.1 %
03,03 - Capitale-Nationale,7,647,427,41,489,37,1648,10.2 %
04,04 - Mauricie et Centre-du-Québec,4,157,755,22,114,5,1057,6.5 %
05,05 - Estrie,4,189,238,26,187,16,660,4.1 %
06,06 - Montréal,218,2852,1480,160,817,81,5608,34.7 %
07,07 - Outaouais,11,97,135,15,67,5,330,2.0 %
08,08 - Abitibi-Témiscamingue,3,40,54,6,19,1,123,0.8 %
09,09 - Côte-Nord,0,0,52,0,1,0,53,0.3 %
10,10 - Nord-du-Québec,0,0,6,0,0,0,6,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,54,0,13,0,83,0.5 %
12,12 - Chaudière-Appalaches,5,174,302,11,201,6,699,4.3 %
13,13 - Laval,6,555,292,59,222,11,1145,7.1 %
14,14 - Lanaudière,3,331,280,26,183,5,828,5.1 %
15,15 - Laurentides,63,266,298,64,113,14,818,5.1 %
16,16 - Montérégie,16,731,918,78,634,13,2390,14.8 %
17,17 - Nunavik,0,0,11,0,0,0,11,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,18,0,0,1,19,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),343,6219,5650,527,3233,207,16179,
9999,Ensemble du Québec (%),2.1 %,38.4 %,34.9 %,3.3 %,20.0 %,1.3 %,.,100.0 %

