No,RSS,NoRLS,RLS,Cas,Population,Taux
1,01 - Bas-St-Laurent,0111,0111 - RLS de Kamouraska,6,20 780,"77,6"
1,01 - Bas-St-Laurent,0112,0112 - RLS de Rivière-du-Loup,27,34 800,"77,6"
1,01 - Bas-St-Laurent,0113,0113 - RLS de Témiscouata,6,19 117,"31,4"
1,01 - Bas-St-Laurent,0114,0114 - RLS des Basques,n.d.,8 529,n.d.
1,01 - Bas-St-Laurent,0115,0115 - RLS de Rimouski,15,57 630,"26,0"
1,01 - Bas-St-Laurent,0116,0116 - RLS de La Mitis,n.d.,17 978,n.d.
1,01 - Bas-St-Laurent,0117,0117 - RLS de Matane,0,20 726,"0,0"
1,01 - Bas-St-Laurent,0118,0118 - RLS de La Matapédia,n.d.,17 514,n.d.
1,01 - Bas-St-Laurent,,Total,61,197 074,"31,0"
2,02 - Saguenay – Lac-St-Jean,0211,0211 - RLS du Domaine-du-Roy,6,31 078,"19,3"
2,02 - Saguenay – Lac-St-Jean,0212,0212 - RLS de Maria-Chapdelaine,n.d.,25 064,n.d.
2,02 - Saguenay – Lac-St-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,24,52 298,"45,9"
2,02 - Saguenay – Lac-St-Jean,0214,0214 - RLS de Jonquière,64,67 417,"94,9"
2,02 - Saguenay – Lac-St-Jean,0215,0215 - RLS de Chicoutimi,204,79 201,"257,6"
2,02 - Saguenay – Lac-St-Jean,0216,0216 - RLS de La Baie,30,22 574,"132,9"
2,02 - Saguenay – Lac-St-Jean,,Total,330,277 632,"118,9"
3,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,63,54 895,"114,8"
3,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,926,321 016,"288,5"
3,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,734,351 429,"208,9"
3,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,13,28 119,"46,2"
3,03 - Capitale-Nationale,,Total,1845,755 459,"244,2"
4,04 - Mauricie-et-Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,0,15 020,"0,0"
4,04 - Mauricie-et-Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,112,25 562,"438,2"
4,04 - Mauricie-et-Centre-du-Québec,0413,0413 - RLS de Maskinongé,248,22 961,"1 080,1"
4,04 - Mauricie-et-Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,356,64 641,"550,7"
4,04 - Mauricie-et-Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,930,143 422,"648,4"
4,04 - Mauricie-et-Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,57,44 619,"127,7"
4,04 - Mauricie-et-Centre-du-Québec,0417,0417 - RLS de Drummond,307,107 872,"284,6"
4,04 - Mauricie-et-Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,30,98 244,"30,5"
4,04 - Mauricie-et-Centre-du-Québec,,Total,2045,522 341,"391,5"
5,05 - Estrie,0511,0511 - RLS de la Pommeraie,138,56 125,"245,9"
5,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,230,105 861,"217,3"
5,05 - Estrie,0513,0513 - RLS de Memphrémagog,100,52 514,"190,4"
5,05 - Estrie,0514,0514 - RLS de Coaticook,13,18 741,"69,4"
5,05 - Estrie,0515,0515 - RLS de Sherbrooke,313,170 075,"184,0"
5,05 - Estrie,0516,0516 - RLS de Val Saint-François,72,31 490,"228,6"
5,05 - Estrie,0517,0517 - RLS d'Asbestos,47,14 257,"329,7"
5,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,33,22 749,"145,1"
5,05 - Estrie,0519,0519 - RLS du Granit,16,21 351,"74,9"
5,05 - Estrie,,Total,964,493 163,"195,5"
6,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1584,224 596,"705,3"
6,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2034,149 522,"1 360,3"
6,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1318,131 424,"1 002,9"
6,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,2795,245 703,"1 137,6"
6,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,1889,166 225,"1 136,4"
6,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1435,161 317,"889,6"
6,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1789,161 894,"1 105,0"
6,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,4171,172 517,"2 417,7"
6,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,935,115 485,"809,6"
6,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2344,139 162,"1 684,4"
6,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3728,208 717,"1 786,2"
6,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2490,189 095,"1 316,8"
6,06 - Montréal,,Total,27327,2 065 657,"1 322,9"
7,07 - Outaouais,0711,0711 - RLS du Pontiac,n.d.,20 152,n.d.
7,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,n.d.,20 552,n.d.
7,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,21,38 891,"54,0"
7,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,508,264 517,"192,0"
7,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,52,56 920,"91,4"
7,07 - Outaouais,,Total,591,401 032,"147,4"
8,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,11,20 528,"53,6"
8,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,5,24 729,"20,2"
8,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,131,43 180,"303,4"
8,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,7,43 551,"16,1"
8,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,17,15 628,"108,8"
8,08 - Abitibi-Témiscamingue,,Total,172,147 616,"116,5"
9,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,0,3 230,"0,0"
9,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,17,40 494,"42,0"
9,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,51,7 314,"697,3"
9,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,46,27 344,"168,2"
9,09 - Côte-Nord,0915,0915 - RLS de la Minganie,5,6 428,"77,8"
9,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,4 582,"0,0"
9,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,641,"0,0"
9,09 - Côte-Nord,,Total,119,90 033,"132,2"
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,8,13 558,"59,0"
10,10 - Nord-du-Québec,,Total,8,13 558,"59,0"
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,135,32 176,"419,6"
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,n.d.,10 582,n.d.
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,13,18 753,"69,3"
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,31,15 881,"195,2"
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,9,12 606,"71,4"
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total,190,89 998,"211,1"
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,405,258 118,"156,9"
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,45,42 500,"105,9"
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,53,73 173,"72,4"
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,7,16 426,"42,6"
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,11,40 092,"27,4"
12,12 - Chaudière-Appalaches,,Total,521,430 309,"121,1"
13,13 - Laval,1311,1311 - RLS de Laval,5797,442 745,"1 309,3"
13,13 - Laval,,Total,5797,442 745,"1 309,3"
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1465,223 099,"656,7"
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,2681,296 993,"902,7"
14,14 - Lanaudière,,Total,4220,520 092,"811,4"
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,23,35 580,"64,6"
15,15 - Laurentides,1512,1512 - RLS des Laurentides,168,48 016,"349,9"
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,237,44 362,"534,2"
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,91,33 422,"272,3"
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,664,124 641,"532,7"
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,1043,177 517,"587,5"
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1214,163 430,"742,8"
15,15 - Laurentides,,Total,3448,626 968,"549,9"
16,16 - Montérégie,1611,1611 - RLS de Champlain,1826,225 442,"810,0"
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,657,195 297,"336,4"
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,2000,262 440,"762,1"
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,889,220 957,"402,3"
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,50,51 371,"97,3"
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,713,160 002,"445,6"
16,16 - Montérégie,1632,1632 - RLS du Suroît,589,60 523,"973,2"
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,95,24 346,"390,2"
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,1016,232 373,"437,2"
