No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,180,8,26,0,230,1.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,175,204,11,159,12,561,3.2 %
03,03 - Capitale-Nationale,9,680,498,42,510,41,1780,10.1 %
04,04 - Mauricie et Centre-du-Québec,4,158,921,23,114,5,1225,7.0 %
05,05 - Estrie,4,213,301,29,218,17,782,4.4 %
06,06 - Montréal,220,2899,1587,163,852,82,5803,33.0 %
07,07 - Outaouais,11,107,169,17,75,9,388,2.2 %
08,08 - Abitibi-Témiscamingue,3,42,64,6,20,1,136,0.8 %
09,09 - Côte-Nord,0,0,61,0,1,0,62,0.4 %
10,10 - Nord-du-Québec,0,0,6,0,0,0,6,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,66,0,13,0,95,0.5 %
12,12 - Chaudière-Appalaches,6,198,336,11,207,7,765,4.4 %
13,13 - Laval,6,579,336,63,233,12,1229,7.0 %
14,14 - Lanaudière,3,348,326,26,192,6,901,5.1 %
15,15 - Laurentides,64,289,385,69,135,14,956,5.4 %
16,16 - Montérégie,16,739,1139,81,647,13,2635,15.0 %
17,17 - Nunavik,0,0,11,0,0,0,11,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,18,0,0,1,19,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),349,6456,6610,549,3402,220,17586,
9999,Ensemble du Québec (%),2.0 %,36.7 %,37.6 %,3.1 %,19.3 %,1.3 %,.,100.0 %

