,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2022,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,27984,51,289,230,0,1,197738.33333,.,.,1670,3,29
02,02 - Saguenay-Lac-Saint-Jean,39072,68,506,561,1,5,278600,.,.,2499,10,39
03,03 - Capitale-Nationale,108416,127,842,1780,1,6,761103.66667,.,.,6648,28,114
04,04 - Mauricie et Centre-du-Québec,72942,133,493,1225,0,4,527666.66667,.,.,5253,5,73
05,05 - Estrie,62834,122,501,782,0,0,502406,.,.,4250,13,59
06,06 - Montréal,350469,249,1376,5803,2,16,2061667.3333,.,.,21372,63,253
07,07 - Outaouais,44102,36,161,388,0,2,405378.66667,.,.,2732,4,20
08,08 - Abitibi-Témiscamingue,13934,22,128,136,0,0,147876.33333,.,.,1150,4,23
09,09 - Côte-Nord,12542,29,158,62,0,0,90082.333333,.,.,941,1,18
10,10 - Nord-du-Québec,1838,3,17,6,0,0,13383.666667,.,.,89,0,3
11,11 - Gaspésie-Îles-de-la-Madeleine,12684,18,225,95,0,2,90783.333333,.,.,799,4,26
12,12 - Chaudière-Appalaches,74189,58,395,765,1,3,434525.66667,.,.,3957,8,37
13,13 - Laval,80822,42,355,1229,1,12,445993.33333,.,.,4520,7,77
14,14 - Lanaudière,82221,78,443,901,1,5,530581,.,.,4202,10,59
15,15 - Laurentides,96050,114,564,956,0,4,640046.66667,.,.,6001,28,72
16,16 - Montérégie,180536,272,1209,2635,9,18,1452381.3333,.,.,12729,37,213
17,17 - Nunavik,3552,1,30,11,0,0,14619,.,.,153,1,1
18,18 - Terres-Cries-de-la-Baie-James,2924,10,12,19,0,0,18660.333333,.,.,150,0,1
98,Inconnu,1200,1,14,0,0,0,.,.,.,539,-1,7
99,Hors Québec,7268,5,15,2,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1275579,1439,7733,17586,16,78,8613493.6667,.,.,79654,225,1124

