,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,772,15,760,12,17,1,593,162,197074,391.73,82.20,8.63
02,02 - Saguenay–Lac-Saint-Jean,4871,135,4720,151,116,4,3572,1183,277632,1754.48,426.10,41.78
03,03 - Capitale-Nationale,11321,99,11073,248,426,1,9642,1253,755459,1498.56,165.86,56.39
04,04 - Mauricie et Centre-du-Québec,6718,62,6515,203,263,3,5642,813,522341,1286.13,155.65,50.35
05,05 - Estrie,4405,27,4103,302,60,-9,3744,601,493163,893.21,121.87,12.17
06,06 - Montréal,49890,675,47132,2758,3610,94,43483,2797,2065657,2415.21,135.40,174.76
07,07 - Outaouais,3491,10,3218,273,79,-2,3061,351,401032,870.50,87.52,19.70
08,08 - Abitibi-Témiscamingue,268,-6,236,32,4,0,253,11,147616,181.55,7.45,2.71
09,09 - Côte-Nord,202,5,190,12,2,0,182,18,90033,224.36,19.99,2.22
10,10 - Nord-du-Québec,53,-2,51,2,0,0,47,6,13558,390.91,44.25,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1348,6,1329,19,40,0,1221,87,89998,1497.81,96.67,44.45
12,12 - Chaudière-Appalaches,5169,43,4934,235,130,2,4570,469,430309,1201.23,108.99,30.21
13,13 - Laval,11163,182,9965,1198,725,21,9836,602,442745,2521.32,135.97,163.75
14,14 - Lanaudière,10957,66,10257,700,321,-20,9431,1205,520092,2106.74,231.69,61.72
15,15 - Laurentides,7799,-73,7204,595,334,-32,7116,349,626968,1243.92,55.66,53.27
16,16 - Montérégie,19585,31,18376,1209,856,-23,17197,1532,1432751,1366.95,106.93,59.75
17,17 - Nunavik,28,-15,26,2,0,-2,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,-6,16,0,1,-1,15,0,18385,87.03,0.00,5.44
98,Inconnu,3,-3,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,104,18,102,2,0,0,91,13,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,138163,1269,130210,7953,6984,37,119727,11452,8539073,1618.01,134.11,81.79
