No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,4,4,6,0,17,0.2 %
2,02 - Saguenay–Lac-Saint-Jean,1,48,39,0,22,6,116,1.7 %
3,03 - Capitale-Nationale,3,245,78,4,89,7,426,6.1 %
4,04 - Mauricie et Centre-du-Québec,6,124,56,17,55,5,263,3.8 %
5,05 - Estrie,1,16,14,1,23,5,60,0.9 %
6,06 - Montréal,191,2469,362,104,442,42,3610,51.7 %
7,07 - Outaouais,6,21,16,9,23,4,79,1.1 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,13,0,13,0,40,0.6 %
12,12 - Chaudière-Appalaches,5,43,30,6,42,4,130,1.9 %
13,13 - Laval,2,472,65,43,137,6,725,10.4 %
14,14 - Lanaudière,3,183,57,6,70,2,321,4.6 %
15,15 - Laurentides,58,116,57,30,61,12,334,4.8 %
16,16 - Montérégie,13,391,153,39,247,13,856,12.3 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),292,4142,949,263,1231,107,6984,
9999,Ensemble du Québec (%),4.2 %,59.3 %,13.6 %,3.8 %,17.6 %,1.5 %,           .,100.0 %
