,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4673,12,4651,22,63,0,4496,114,196934.5,2372.87,57.93,31.99,1
02,02 - Saguenay-Lac-Saint-Jean,11646,15,11423,223,274,0,11235,137,277505,4196.68,49.39,98.74,7
03,03 - Capitale-Nationale,36195,71,35836,359,1140,0,34577,478,757803,4776.31,62.88,150.43,23
04,04 - Mauricie et Centre-du-Québec,19249,121,19010,239,577,1,18011,661,523331.5,3678.17,126.07,110.26,34
05,05 - Estrie,21398,141,20873,525,385,1,19595,1418,494966.5,4323.12,285.44,77.78,109
06,06 - Montréal,159308,347,156325,2983,4863,0,151134,3311,2072060.5,7688.39,159.30,234.69,214
07,07 - Outaouais,14753,22,14309,444,223,0,14365,165,402744,3663.12,40.80,55.37,13
08,08 - Abitibi-Témiscamingue,1548,3,1515,33,13,0,1460,75,147637,1048.52,50.79,8.81,5
09,09 - Côte-Nord,839,2,816,23,5,0,819,15,89700.5,935.33,16.78,5.57,3
10,10 - Nord-du-Québec,138,0,136,2,0,0,137,1,13521.5,1020.60,7.42,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2351,4,2328,23,48,0,2280,23,89823,2617.37,25.66,53.44,2
12,12 - Chaudière-Appalaches,25124,126,24853,271,386,0,23866,872,431109.5,5827.75,201.89,89.54,69
13,13 - Laval,39212,109,37264,1948,940,0,37439,833,444658.5,8818.45,186.53,211.40,62
14,14 - Lanaudière,29335,90,28624,711,535,0,28119,681,522367,5615.78,129.80,102.42,48
15,15 - Laurentides,27948,118,27343,605,532,0,26609,807,630238,4434.52,127.39,84.41,75
16,16 - Montérégie,62203,179,60283,1920,1605,0,59132,1466,1438226,4324.98,101.54,111.60,89
17,17 - Nunavik,1033,6,1029,4,1,0,972,60,14336.5,7205.38,416.29,6.98,0
18,18 - Terres-Cries-de-la-Baie-James,145,0,145,0,5,0,140,0,18507,783.49,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1324,1,1317,7,1,0,1300,23,.,.,.,.,1
999,Ensemble du Québec,458426,1367,448083,10343,11596,2,435690,11140,8565469.5,5352.02,129.66,135.38,755

