Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;348;1,3;313,9;0;
5-9 ans;315;1,1;291,7;0;
10-19 ans;1088;3,9;547;0;
20-29 ans;3464;12,5;1075,4;< 5;n.p.
30-39 ans;3591;12,9;1093;< 5;n.p.
40-49 ans;3833;13,8;1377,1;15;*5,4
50-59 ans;3461;12,5;1348,4;66;25,7
60-69 ans;2401;8,6;1108,7;219;101,1
70-79 ans;2413;8,7;1667,6;592;409,1
80 ans et +;6866;24,7;6795,3;2532;2505,9
Manquant;83;;;;
Total;27863;;1348,8;3431;166,1
