Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;402;1,4;366;0;
5-9 ans;354;1,2;329,1;0;
10-19 ans;1234;4,2;620,4;0;
20-29 ans;4081;13,9;1253,5;< 5;n.p.
30-39 ans;3889;13,2;1184,9;< 5;n.p.
40-49 ans;4015;13,7;1446,4;15;*5,4
50-59 ans;3602;12,3;1404,3;67;26,1
60-69 ans;2482;8,4;1147,3;222;102,6
70-79 ans;2443;8,3;1690,6;593;410,4
80 ans et +;6886;23,4;6845,5;2558;2543
Manquant;85;;;;
Total;29473;;1426,8;3462;167,6
