,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,2788,29,2768,20,37,0,2464,287,196934.5,1415.70,145.84,18.79
02,02 - Saguenay-Lac-Saint-Jean,10137,22,9926,211,266,0,9668,203,277505,3652.91,73.19,95.85
03,03 - Capitale-Nationale,30671,110,30321,350,1069,3,28001,1601,757803,4047.36,210.62,141.07
04,04 - Mauricie et Centre-du-Québec,14052,31,13816,236,510,0,13256,286,523331.5,2685.10,54.55,97.45
05,05 - Estrie,13041,32,12542,499,331,0,12303,407,494966.5,2634.72,81.93,66.87
06,06 - Montréal,124237,223,121326,2911,4674,3,116762,2801,2072060.5,5995.82,134.76,225.57
07,07 - Outaouais,11020,50,10573,447,192,1,10111,717,402744,2736.23,177.28,47.67
08,08 - Abitibi-Témiscamingue,1097,2,1064,33,9,0,1060,28,147637,743.04,18.96,6.10
09,09 - Côte-Nord,492,6,473,19,3,0,419,70,89700.5,548.49,78.33,3.34
10,10 - Nord-du-Québec,90,0,88,2,0,0,90,0,13521.5,665.61,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1822,0,1803,19,45,0,1758,19,89823,2028.43,21.19,50.10
12,12 - Chaudière-Appalaches,16271,82,15994,277,315,1,14848,1108,431109.5,3774.22,256.53,73.07
13,13 - Laval,29388,96,27648,1740,897,0,27835,656,444658.5,6609.12,146.90,201.73
14,14 - Lanaudière,22860,43,22150,710,508,0,21966,386,522367,4376.23,73.57,97.25
15,15 - Laurentides,19509,36,18904,605,496,0,18498,515,630238,3095.50,81.29,78.70
16,16 - Montérégie,47705,124,45778,1927,1531,0,44908,1266,1438226,3316.93,87.69,106.45
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,0,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,349,3,344,5,0,0,329,20,.,.,.,.
999,Ensemble du Québec,345697,889,335684,10013,10886,8,324441,10370,8565469.5,4035.94,120.70,127.09

