RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,67,0,0,0,67,849,431.41,"100,0"
02 - Saguenay–Lac-Saint-Jean,0,0,1,0,1,284,102.39,"64,4"
03 - Capitale-Nationale,231,2,0,6,239,6219,818.13,"98,6"
04 - Mauricie et Centre-du-Québec,11,0,0,0,11,595,113.48,"85,1"
05 - Estrie,49,0,1,0,50,679,136.68,"74,2"
06 - Montréal,1949,22,14,9,1994,7717,371.28,"74,5"
07 - Outaouais,224,2,1,5,232,2610,645.31,"90,2"
08 - Abitibi-Témiscamingue,0,141,0,0,141,227,153.73,"33,3"
09 - Côte-Nord,0,0,0,0,0,58,64.90,"92,6"
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,53,59.12,"100,0"
12 - Chaudière-Appalaches,127,0,0,0,127,1364,315.81,"91,3"
13 - Laval,213,3,0,5,221,1813,405.98,"79,4"
14 - Lanaudière,146,5,1,6,158,899,171.35,"71,8"
15 - Laurentides,185,6,3,1,195,1363,215.15,"80,5"
16 - Montérégie,115,3,3,0,121,2037,141.10,"75,5"
Inconnu,0,1,0,0,1,928,,"75,6"
Hors Québec,14,1,0,1,16,48,,"90,9"
Ensemble du Québec,3331,186,24,33,3574,27743,322.90,"81,9"
