"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;70914
02 - Saguenay - Lac-Saint-Jean;100370
03 - Capitale-Nationale;260110
04 - Mauricie et Centre-du-Québec;172888
05 - Estrie;156003
06 - Montréal;742268
07 - Outaouais;127700
08 - Abitibi-Témiscamingue;43455
09 - Côte-Nord;42163
10 - Nord-du-Québec;9967
11 - Gaspésie - Îles-de-la-Madeleine;45342
12 - Chaudière-Appalaches;145875
13 - Laval;137172
14 - Lanaudière;160697
15 - Laurentides;192674
16 - Montérégie;435044
17 - Nunavik;7975
18 - Terres-Cries-de-la-Baie-James;17824
Inconnue;2699
Total;2871140
