No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,2,4,5,0,14,0.2 %
2,02 - Saguenay–Lac-Saint-Jean,1,40,27,0,13,6,87,1.3 %
3,03 - Capitale-Nationale,3,230,78,3,81,5,400,5.9 %
4,04 - Mauricie et Centre-du-Québec,6,124,47,14,51,2,244,3.6 %
5,05 - Estrie,1,13,12,0,23,3,52,0.8 %
6,06 - Montréal,189,2465,356,104,436,39,3589,53.0 %
7,07 - Outaouais,5,21,15,8,17,4,70,1.0 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,13,14,0,10,0,37,0.5 %
12,12 - Chaudière-Appalaches,5,33,29,6,38,3,114,1.7 %
13,13 - Laval,2,471,64,42,133,7,719,10.6 %
14,14 - Lanaudière,3,168,50,6,64,2,293,4.3 %
15,15 - Laurentides,59,112,55,30,61,11,328,4.8 %
16,16 - Montérégie,13,376,141,39,240,11,820,12.1 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),290,4066,895,256,1173,94,6774,
9999,Ensemble du Québec (%),4.3 %,60.0 %,13.2 %,3.8 %,17.3 %,1.4 %,           .,100.0 %
