Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;6322
02 - Saguenay – Lac-Saint-Jean;9566
03 - Capitale-Nationale;27259
04 - Mauricie-et-Centre-du-Québec;14305
05 - Estrie;11542
06 - Montréal;76 091
07 - Outaouais;9055
08 - Abitibi-Témiscamingue;7935
09 - Côte-Nord;9942
10 - Nord-du-Québec;6487
11 - Gaspésie – Îles-de-la-Madeleine;7757
12 - Chaudière-Appalaches;11162
13 - Laval;9817
14 - Lanaudière;11825
15 - Laurentides;12918
16 - Montérégie;35367
17 - Nunavik;2776
18 - Terres-Cries-de-la-Baie-James;9457
Inconnu;1029
Total;280 612
