RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,,,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,124,,2,3,129,,,,
03 - Capitale-Nationale,650,4,12,68,734,,,,
04 - Mauricie et Centre-du-Québec,117,,1,43,161,,,,
05 - Estrie,99,,19,21,139,,,,
06 - Montréal,3358,138,280,567,4343,,,,
07 - Outaouais,496,16,35,46,593,,,,
08 - Abitibi-Témiscamingue,,177,,3,180,,,,
09 - Côte-Nord,11,,,3,14,,,,
10 - Nord-du-Québec,,1,,1,2,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,,,3,11,,,,
12 - Chaudière-Appalaches,570,1,11,8,590,,,,
13 - Laval,451,13,24,131,619,,,,
14 - Lanaudière,307,33,15,53,408,,,,
15 - Laurentides,512,32,56,86,686,,,,
16 - Montérégie,372,24,157,259,812,,,,
Inconnu,,11,,3,14,,,,
Hors Québec,51,10,6,75,142,,,,
Ensemble du Québec,7299,460,618,1375,9752,,,,
