Régions sociosanitaires;2021-07-04;2021-07-05;2021-07-06;2021-07-07;2021-07-08;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;0;0;2;1;3 967
02 - Saguenay – Lac-Saint-Jean;0;1;0;0;0;11 022
03 - Capitale-Nationale;0;4;3;5;3;32 809
04 - Mauricie-et-Centre-du-Québec;3;1;7;0;1;15 200
05 - Estrie;1;7;4;3;2;14 916
06 - Montréal;17;14;35;25;46;133 108
07 - Outaouais;3;12;0;2;3;12 561
08 - Abitibi-Témiscamingue;0;0;0;0;0;1 147
09 - Côte-Nord;0;0;1;1;0;577
10 - Nord-du-Québec;0;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;0;0;0;0;2 066
12 - Chaudière-Appalaches;1;2;2;1;0;19 280
13 - Laval;10;7;23;19;9;31 735
14 - Lanaudière;3;4;8;1;3;24 078
15 - Laurentides;1;0;6;0;3;21 010
16 - Montérégie;10;13;13;5;5;51 483
17 - Nunavik;0;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;119
Hors Québec;0;2;1;0;1;478
Région à déterminer;0;0;0;0;0;4
Total;49;67;103;64;77;375 716
