,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4568,3,4546,22,62,1,4426,80,196934.5,2319.55,40.65,31.48,1
02,02 - Saguenay-Lac-Saint-Jean,11500,3,11278,222,274,0,11203,23,277505,4144.07,8.29,98.74,3
03,03 - Capitale-Nationale,35708,21,35350,358,1140,0,34296,272,757803,4712.04,35.78,150.43,19
04,04 - Mauricie et Centre-du-Québec,18566,27,18329,237,574,0,17633,359,523331.5,3547.66,68.47,109.68,24
05,05 - Estrie,20042,156,19517,525,384,0,18495,1163,494966.5,4049.16,234.11,77.58,102
06,06 - Montréal,156196,211,153210,2986,4861,0,149010,2325,2072060.5,7538.20,111.86,234.60,257
07,07 - Outaouais,14557,7,14113,444,223,0,14254,80,402744,3614.45,19.78,55.37,12
08,08 - Abitibi-Témiscamingue,1474,6,1441,33,12,0,1321,141,147637,998.39,95.49,8.13,5
09,09 - Côte-Nord,822,1,799,23,5,0,811,6,89700.5,916.38,6.71,5.57,1
10,10 - Nord-du-Québec,138,0,136,2,0,0,137,1,13521.5,1020.60,7.42,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2324,0,2303,21,48,0,2265,11,89823,2587.31,12.27,53.44,2
12,12 - Chaudière-Appalaches,24159,52,23888,271,384,0,23234,541,431109.5,5603.91,125.26,89.07,60
13,13 - Laval,38416,60,36473,1943,939,0,36952,525,444658.5,8639.44,117.56,211.17,39
14,14 - Lanaudière,28670,43,27960,710,534,1,27548,588,522367,5488.48,112.08,102.23,30
15,15 - Laurentides,27062,62,26458,604,531,0,25876,655,630238,4293.93,103.39,84.25,96
16,16 - Montérégie,60767,88,58846,1921,1598,0,58251,918,1438226,4225.14,63.59,111.11,86
17,17 - Nunavik,974,8,966,8,1,0,846,127,14336.5,6793.85,881.15,6.98,18
18,18 - Terres-Cries-de-la-Baie-James,145,0,145,0,5,0,140,0,18507,783.49,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1295,8,1288,7,1,0,1263,31,.,.,.,.,3
999,Ensemble du Québec,447387,756,437049,10338,11576,2,427965,7846,8565469.5,5223.15,91.32,135.15,758

