Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;9164
02 - Saguenay – Lac-Saint-Jean;11630
03 - Capitale-Nationale;37476
04 - Mauricie-et-Centre-du-Québec;19575
05 - Estrie;18564
06 - Montréal;95 164
07 - Outaouais;13281
08 - Abitibi-Témiscamingue;9724
09 - Côte-Nord;17 555
10 - Nord-du-Québec;7704
11 - Gaspésie – Îles-de-la-Madeleine;9889
12 - Chaudière-Appalaches;16253
13 - Laval;13213
14 - Lanaudière;18227
15 - Laurentides;18221
16 - Montérégie;44812
17 - Nunavik;4275
18 - Terres-Cries-de-la-Baie-James;9973
Inconnu;2210
Total;376 910
