No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,8,6,4,9,0,30,0.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,73,4,85,8,264,2.6 %
03,03 - Capitale-Nationale,3,494,140,23,288,24,972,9.4 %
04,04 - Mauricie et Centre-du-Québec,6,151,214,21,99,5,496,4.8 %
05,05 - Estrie,3,125,51,17,93,11,300,2.9 %
06,06 - Montréal,201,2717,722,132,646,71,4489,43.4 %
07,07 - Outaouais,8,63,32,13,42,1,159,1.5 %
08,08 - Abitibi-Témiscamingue,0,0,6,0,1,0,7,0.1 %
09,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.4 %
12,12 - Chaudière-Appalaches,5,104,69,6,99,4,287,2.8 %
13,13 - Laval,2,509,128,52,170,6,867,8.4 %
14,14 - Lanaudière,3,249,114,11,113,2,492,4.8 %
15,15 - Laurentides,64,174,87,48,79,14,466,4.5 %
16,16 - Montérégie,15,604,337,59,444,8,1467,14.2 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),313,5307,2000,390,2181,155,10346,
9999,Ensemble du Québec (%),3.0 %,51.3 %,19.3 %,3.8 %,21.1 %,1.5 %,.,100.0 %

