RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,Autres variants,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés
01 - Bas-Saint-Laurent,,,,,0,1,1
02 - Saguenay–Lac-Saint-Jean,,,,,0,2,2
03 - Capitale-Nationale,3,,,,3,177,174
04 - Mauricie et Centre-du-Québec,,,,,0,10,10
05 - Estrie,5,,,,5,37,32
06 - Montréal,193,1,1,2,197,1134,937
07 - Outaouais,,,,,0,62,62
08 - Abitibi-Témiscamingue,,95,,,95,154,59
09 - Côte-Nord,,,,,0,1,1
10 - Nord-du-Québec,,,,,0,0,0
11 - Gaspésie–Îles-de-la-Madeleine,,,,,0,0,0
12 - Chaudière-Appalaches,,,,,0,22,22
13 - Laval,17,,,,17,237,220
14 - Lanaudière,6,1,,,7,91,84
15 - Laurentides,13,1,,,14,184,170
16 - Montérégie,4,,,,4,83,79
Inconnu,,1,,,1,116,115
Hors Québec,,,,,0,0,0
Ensemble du Québec,241,99,1,2,343,2311,1968
