"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;13013
02 - Saguenay - Lac-Saint-Jean;14837
03 - Capitale-Nationale;45799
04 - Mauricie et Centre-du-Québec;31047
05 - Estrie;24774
06 - Montréal;244821
07 - Outaouais;16694
08 - Abitibi-Témiscamingue;13070
09 - Côte-Nord;18714
10 - Nord-du-Québec;8499
11 - Gaspésie - Îles-de-la-Madeleine;10781
12 - Chaudière-Appalaches;25745
13 - Laval;41481
14 - Lanaudière;31847
15 - Laurentides;36492
16 - Montérégie;86758
17 - Nunavik;5005
18 - Terres-Cries-de-la-Baie-James;10449
Inconnue;1661
Total;681487
