RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,,,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,123,,2,2,127,,,,
03 - Capitale-Nationale,649,4,12,44,709,,,,
04 - Mauricie et Centre-du-Québec,117,,1,41,159,,,,
05 - Estrie,99,,18,19,136,,,,
06 - Montréal,3358,138,276,406,4178,,,,
07 - Outaouais,493,16,35,35,579,,,,
08 - Abitibi-Témiscamingue,,177,,2,179,,,,
09 - Côte-Nord,11,,,2,13,,,,
10 - Nord-du-Québec,,1,,1,2,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,,,3,11,,,,
12 - Chaudière-Appalaches,568,2,11,8,589,,,,
13 - Laval,445,13,22,96,576,,,,
14 - Lanaudière,307,34,13,37,391,,,,
15 - Laurentides,508,32,55,62,657,,,,
16 - Montérégie,372,25,155,173,725,,,,
Inconnu,,1,0,3,4,,,,
Hors Québec,50,10,5,63,128,,,,
Ensemble du Québec,7281,453,605,999,9338,,,,
