RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,0,0,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,122,0,2,2,126,,,,
03 - Capitale-Nationale,649,4,12,25,690,,,,
04 - Mauricie et Centre-du-Québec,115,0,1,35,151,,,,
05 - Estrie,99,0,17,9,125,,,,
06 - Montréal,3352,138,256,211,3957,,,,
07 - Outaouais,491,16,35,15,557,,,,
08 - Abitibi-Témiscamingue,0,177,0,1,178,,,,
09 - Côte-Nord,11,0,0,0,11,,,,
10 - Nord-du-Québec,0,1,0,0,1,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,,,,
12 - Chaudière-Appalaches,563,2,13,1,579,,,,
13 - Laval,442,13,19,25,499,,,,
14 - Lanaudière,304,33,13,14,364,,,,
15 - Laurentides,505,30,53,18,606,,,,
16 - Montérégie,370,25,139,78,612,,,,
Inconnu,0,1,0,3,4,,,,
Hors Québec,50,9,4,28,91,,,,
Ensemble du Québec,7254,449,564,467,8734,,,,
