,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20651,21,20612,39,174,0,20219,258,197738.33333,10443.60,130.53,88.00,24,853,7
02,02 - Saguenay-Lac-Saint-Jean,30255,28,29894,361,440,0,29480,335,278600,10859.66,120.25,157.93,29,1609,1
03,03 - Capitale-Nationale,88194,68,87833,361,1552,0,85833,809,761103.66667,11587.65,105.53,203.91,82,4249,7
04,04 - Mauricie et Centre-du-Québec,58729,26,58489,240,1006,0,57217,506,527666.66667,11129.94,95.42,190.65,38,3170,2
05,05 - Estrie,49504,26,48980,524,622,1,48278,604,502406,9853.39,118.90,123.80,43,2745,2
06,06 - Montréal,308174,174,304813,3361,5475,0,300764,1935,2061667.3333,14947.80,93.41,265.56,206,16074,2
07,07 - Outaouais,39654,24,39209,445,314,0,39089,251,405378.66667,9781.97,61.26,77.46,25,1837,3
08,08 - Abitibi-Témiscamingue,10895,16,10854,41,111,1,10679,105,147876.33333,7367.64,70.97,75.06,9,629,0
09,09 - Côte-Nord,8546,15,8520,26,46,0,8279,221,90082.333333,9486.88,246.46,51.06,13,493,3
10,10 - Nord-du-Québec,1488,2,1259,229,4,0,1481,3,13383.666667,11118.03,22.55,29.89,6,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9038,25,9001,37,82,0,8819,137,90783.333333,9955.57,150.72,90.32,6,431,1
12,12 - Chaudière-Appalaches,61092,27,60809,283,662,2,60041,389,434525.66667,14059.47,89.10,152.35,20,2537,4
13,13 - Laval,71319,36,69359,1960,1111,1,69877,331,445993.33333,15991.05,73.54,249.11,25,3240,7
14,14 - Lanaudière,69585,29,68869,716,773,1,68439,373,530581,13114.87,69.46,145.69,41,2804,1
15,15 - Laurentides,79113,54,78508,605,761,1,77642,710,640046.66667,12360.50,109.45,118.90,57,3724,3
16,16 - Montérégie,148627,129,146714,1913,2229,5,145103,1295,1452381.3333,10233.33,88.29,153.47,117,8064,19
17,17 - Nunavik,3005,0,2999,6,10,0,2987,8,14619,20555.44,53.80,68.40,1,111,0
18,18 - Terres-Cries-de-la-Baie-James,2935,0,2537,398,16,0,2902,17,18660.333333,15728.55,89.61,85.74,0,100,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,378,1
99,Hors Québec,2937,5,2929,8,2,0,2913,22,.,.,.,.,3,0,0
999,Ensemble du Québec,1063741,705,1052188,11553,15390,12,1040042,8309,8613493.6667,12349.70,95.76,178.67,745,53100,63

