RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,16,0,0,0,16,582,295.74
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,141,50.83
03 - Capitale-Nationale,153,2,0,3,158,4579,602.38
04 - Mauricie et Centre-du-Québec,6,0,0,0,6,342,65.23
05 - Estrie,35,0,0,0,35,408,82.13
06 - Montréal,1596,10,5,5,1616,5809,279.49
07 - Outaouais,174,2,0,5,181,1746,431.69
08 - Abitibi-Témiscamingue,0,131,0,0,131,214,144.93
09 - Côte-Nord,0,0,0,0,0,28,31.33
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,18,20.08
12 - Chaudière-Appalaches,68,0,0,0,68,1070,247.74
13 - Laval,133,3,0,4,140,1294,289.76
14 - Lanaudière,112,5,0,1,118,617,117.60
15 - Laurentides,150,6,1,0,157,897,141.59
16 - Montérégie,98,3,2,0,103,1318,91.29
Inconnu,0,1,0,0,1,717,
Hors Québec,13,0,0,1,14,30,
Ensemble du Québec,2554,163,8,19,2744,19810,230.57
