,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,2478,26,2459,19,35,0,2175,268,196934.5,1258.29,136.18,17.77
02,02 - Saguenay-Lac-Saint-Jean,9867,41,9658,209,266,0,9380,221,277505,3555.61,79.67,95.85
03,03 - Capitale-Nationale,29083,294,28738,345,1045,1,24889,3149,757803,3837.80,414.26,137.90
04,04 - Mauricie et Centre-du-Québec,13698,46,13463,235,508,0,12863,327,523331.5,2617.46,62.37,97.07
05,05 - Estrie,12605,50,12114,491,325,1,11872,408,494966.5,2546.64,82.13,65.66
06,06 - Montréal,121434,355,118532,2902,4651,1,113190,3593,2072060.5,5860.54,172.87,224.46
07,07 - Outaouais,9974,151,9537,437,183,0,8644,1147,402744,2476.51,283.59,45.44
08,08 - Abitibi-Témiscamingue,1070,3,1037,33,9,0,1018,43,147637,724.75,29.12,6.10
09,09 - Côte-Nord,417,3,401,16,3,0,368,46,89700.5,464.88,51.47,3.34
10,10 - Nord-du-Québec,90,0,88,2,0,0,89,1,13521.5,665.61,7.42,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1808,4,1789,19,45,0,1720,43,89823,2012.85,47.97,50.10
12,12 - Chaudière-Appalaches,14848,204,14574,274,298,2,12883,1667,431109.5,3444.14,385.96,69.12
13,13 - Laval,28588,87,26903,1685,894,1,26980,714,444658.5,6429.20,159.88,201.05
14,14 - Lanaudière,22452,56,21740,712,504,0,21449,499,522367,4298.13,95.11,96.48
15,15 - Laurentides,18891,84,18286,605,495,0,17856,540,630238,2997.44,85.24,78.54
16,16 - Montérégie,46282,122,44377,1905,1521,1,43506,1255,1438226,3217.99,86.93,105.76
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,5,1,5,0,0,0,4,1,.,.,.,.
99,Hors Québec,316,0,311,5,0,0,297,19,.,.,.,.
999,Ensemble du Québec,334071,1527,324175,9896,10785,7,309345,13941,8565469.5,3900.21,162.26,125.91

