"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;56825
02 - Saguenay - Lac-Saint-Jean;71406
03 - Capitale-Nationale;193996
04 - Mauricie et Centre-du-Québec;132584
05 - Estrie;111913
06 - Montréal;614625
07 - Outaouais;93405
08 - Abitibi-Témiscamingue;32037
09 - Côte-Nord;35627
10 - Nord-du-Québec;9421
11 - Gaspésie - Îles-de-la-Madeleine;37360
12 - Chaudière-Appalaches;102853
13 - Laval;109277
14 - Lanaudière;125134
15 - Laurentides;141983
16 - Montérégie;330324
17 - Nunavik;6732
18 - Terres-Cries-de-la-Baie-James;16265
Inconnue;2008
Total;2223775
