Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;421;1,4;383,3;0;
5-9 ans;385;1,3;357,9;0;
10-19 ans;1345;4,4;676,2;0;
20-29 ans;4440;14,6;1363,7;< 5;n.p.
30-39 ans;4094;13,4;1247,4;< 5;n.p.
40-49 ans;4160;13,6;1498,6;15;*5,4
50-59 ans;3722;12,2;1451,1;69;26,9
60-69 ans;2543;8,3;1175,5;224;103,5
70-79 ans;2467;8,1;1707,2;594;411
80 ans et +;6907;22,7;6866,4;2567;2551,9
Manquant;87;;;;
Total;30571;;1480;3476;168,3
