Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2540;8,5;1892,1;359;267,4
Anjou;749;2,5;1750,2;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;68;0,2;351,9;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2423;8,1;1455,1;261;156,7
Côte-Saint-Luc;562;1,9;1732;64;197,2
Dollard-des-Ormeaux;478;1,6;977,5;83;169,7
Dorval;205;0,7;1080,1;50;263,4
Hampstead;64;0,2;917,8;< 5;n.p.
Kirkland;140;0,5;694,8;23;*114,1
Lachine;714;2,4;1604,9;100;224,8
LaSalle;1318;4,4;1715;183;238,1
L'Île-Bizard–Sainte-Geneviève;225;0,8;1222;46;249,8
Mercier–Hochelaga-Maisonneuve;2539;8,5;1866,6;373;274,2
Montréal Est;49;0,2;1272,7;5;n.p.
Montréal-Nord;2712;9,1;3219,6;247;293,2
Montréal-Ouest;32;0,1;*633,7;< 5;n.p.
Mont-Royal;296;1;1459,9;77;379,8
Outremont;304;1;1269,1;11;*45,9
Pierrefonds–Roxboro;594;2;857,2;39;56,3
Plateau Mont-Royal;1124;3,8;1080,8;140;134,6
Pointe-Claire;244;0,8;777,6;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2290;7,7;2145,3;242;226,7
Rosemont–La Petite Patrie;1817;6,1;1301,7;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1204;4;1218,3;120;121,4
Saint-Léonard;1246;4,2;1591,2;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1089;3,6;1393,5;182;232,9
Verdun;1053;3,5;1521;159;229,7
Ville-Marie;1147;3,8;1286,3;87;97,6
Villeray–Saint-Michel–Parc-Extension;2422;8,1;1683,7;131;91,1
Westmount;205;0,7;1009,3;37;182,2
Territoire à confirmer;665;;;44;
Total à Montréal;30571;;1480;3476;168,3
