,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4688,15,4666,22,63,0,4500,125,196934.5,2380.49,63.52,31.99,4
02,02 - Saguenay-Lac-Saint-Jean,11685,39,11462,223,274,0,11248,163,277505,4210.73,58.76,98.74,13
03,03 - Capitale-Nationale,36287,92,35928,359,1140,0,34606,541,757803,4788.45,71.17,150.43,29
04,04 - Mauricie et Centre-du-Québec,19385,136,19146,239,577,0,18054,754,523331.5,3704.15,143.80,110.26,43
05,05 - Estrie,21622,224,21097,525,385,0,19696,1541,494966.5,4368.38,310.20,77.78,101
06,06 - Montréal,159786,478,156803,2983,4863,0,151384,3539,2072060.5,7711.45,170.27,234.69,250
07,07 - Outaouais,14794,41,14350,444,223,0,14379,192,402744,3673.30,47.47,55.37,14
08,08 - Abitibi-Témiscamingue,1560,12,1527,33,13,0,1465,82,147637,1056.65,55.53,8.81,5
09,09 - Côte-Nord,840,1,817,23,5,0,820,15,89700.5,936.45,16.78,5.57,1
10,10 - Nord-du-Québec,141,3,139,2,0,0,137,4,13521.5,1042.78,29.66,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2355,4,2332,23,48,0,2280,27,89823,2621.82,30.12,53.44,0
12,12 - Chaudière-Appalaches,25278,154,25007,271,387,1,23971,920,431109.5,5863.48,213.01,89.77,105
13,13 - Laval,39356,144,37404,1952,940,0,37491,925,444658.5,8850.84,207.13,211.40,52
14,14 - Lanaudière,29456,121,28745,711,535,0,28175,746,522367,5638.95,142.19,102.42,56
15,15 - Laurentides,28088,140,27483,605,532,0,26690,866,630238,4456.73,136.70,84.41,81
16,16 - Montérégie,62397,194,60478,1919,1605,0,59227,1565,1438226,4338.47,108.40,111.60,95
17,17 - Nunavik,1042,9,1038,4,1,0,979,62,14336.5,7268.16,430.17,6.98,7
18,18 - Terres-Cries-de-la-Baie-James,145,0,145,0,5,0,140,0,18507,783.49,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1324,0,1317,7,1,0,1305,18,.,.,.,.,5
999,Ensemble du Québec,460233,1807,449887,10346,11597,1,436551,12085,8565469.5,5373.12,140.66,135.39,861

