RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,,,4,177,,,,
02 - Saguenay–Lac-Saint-Jean,124,,2,6,132,,,,
03 - Capitale-Nationale,650,5,12,119,786,,,,
04 - Mauricie et Centre-du-Québec,117,,1,53,171,,,,
05 - Estrie,99,,19,51,169,,,,
06 - Montréal,3359,138,280,873,4650,,,,
07 - Outaouais,496,16,35,70,617,,,,
08 - Abitibi-Témiscamingue,,177,,6,183,,,,
09 - Côte-Nord,11,,,3,14,,,,
10 - Nord-du-Québec,,1,,1,2,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,,,8,16,,,,
12 - Chaudière-Appalaches,570,1,11,18,600,,,,
13 - Laval,455,13,24,224,716,,,,
14 - Lanaudière,308,33,15,90,446,,,,
15 - Laurentides,512,32,56,121,721,,,,
16 - Montérégie,372,24,157,387,940,,,,
Inconnu,,1,,4,5,,,,
Hors Québec,51,10,6,89,156,,,,
Ensemble du Québec,7305,451,618,2127,10501,,,,
