Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;13;174;158,4;5065;4611,2;0;;0;
5-9 ans;14;204;189,6;6791;6312,5;0;;0;
10-19 ans;26;401;201,6;15558;7821,4;0;;0;
20-29 ans;44;796;244,5;24536;7536,1;0;;< 5;n.p.
30-39 ans;28;502;152,9;21625;6588,7;0;;7;n.p.
40-49 ans;21;338;121,8;20565;7408,3;< 5;n.p.;23;* 8,3
50-59 ans;19;213;83;16726;6520,9;0;;105;40,9
60-69 ans;6;113;52,2;10149;4691,4;0;;332;153,5
70-79 ans;< 5;54;37,4;6564;4542,3;0;;838;579,9
80 ans et +;0;31;* 30,8;11985;11914,6;0;;3468;3447,6
Manquant;0;< 5;;94;;0;;0;
Total;172;2827;136,9;139658;6760,9;< 5;n.p.;4776;231,2
