Régions sociosanitaires;2021-06-27;2021-06-28;2021-06-29;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;0;2;3 957
02 - Saguenay – Lac-Saint-Jean;1;0;1;11 016
03 - Capitale-Nationale;2;5;3;32 763
04 - Mauricie-et-Centre-du-Québec;2;2;2;15 186
05 - Estrie;1;1;2;14 889
06 - Montréal;31;29;56;132 702
07 - Outaouais;5;6;9;12 513
08 - Abitibi-Témiscamingue;0;0;0;1 146
09 - Côte-Nord;0;0;0;574
10 - Nord-du-Québec;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;0;2;2 063
12 - Chaudière-Appalaches;1;2;3;19 268
13 - Laval;11;7;23;31 630
14 - Lanaudière;8;5;9;24 043
15 - Laurentides;4;1;4;20 986
16 - Montérégie;8;13;10;51 371
17 - Nunavik;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;119
Hors Québec;2;0;0;471
Région à déterminer;0;0;0;4
Total;76;71;126;374 857
