,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,3957,2,3931,26,52,0,3890,15,196934.5,2009.30,7.62,26.40,0
02,02 - Saguenay-Lac-Saint-Jean,11016,1,10795,221,271,1,10739,6,277505,3969.66,2.16,97.66,1
03,03 - Capitale-Nationale,32763,3,32411,352,1115,0,31628,20,757803,4323.42,2.63,147.14,2
04,04 - Mauricie et Centre-du-Québec,15186,2,14947,239,526,0,14643,17,523331.5,2901.79,3.24,100.51,2
05,05 - Estrie,14889,2,14371,518,352,0,14521,16,494966.5,3008.08,3.22,71.12,2
06,06 - Montréal,132702,56,129780,2922,4768,2,127560,374,2072060.5,6404.35,17.99,230.11,51
07,07 - Outaouais,12513,9,12066,447,214,0,12228,71,402744,3106.94,17.55,53.14,5
08,08 - Abitibi-Témiscamingue,1146,0,1113,33,9,0,1136,1,147637,776.23,0.68,6.10,0
09,09 - Côte-Nord,574,0,555,19,4,0,570,0,89700.5,639.91,0.00,4.46,0
10,10 - Nord-du-Québec,109,0,107,2,0,0,109,0,13521.5,806.12,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2063,2,2043,20,46,0,2012,5,89823,2296.74,5.58,51.21,2
12,12 - Chaudière-Appalaches,19268,3,18987,281,358,0,18890,20,431109.5,4469.40,4.63,83.04,5
13,13 - Laval,31630,23,29805,1825,913,0,30596,121,444658.5,7113.32,27.10,205.33,11
14,14 - Lanaudière,24043,9,23332,711,516,0,23459,68,522367,4602.70,12.96,98.78,12
15,15 - Laurentides,20986,4,20382,604,509,0,20454,23,630238,3329.85,3.63,80.76,5
16,16 - Montérégie,51371,10,49415,1956,1554,0,49686,131,1438226,3571.83,9.07,108.05,12
17,17 - Nunavik,47,0,45,2,0,0,47,0,14336.5,327.83,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,471,0,466,5,0,0,468,3,.,.,.,.,0
999,Ensemble du Québec,374857,126,364673,10184,11210,3,362756,891,8565469.5,4376.37,10.37,130.87,110

