No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,8,6,4,9,0,30,0.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,73,3,85,8,263,2.6 %
03,03 - Capitale-Nationale,3,492,138,23,288,24,968,9.4 %
04,04 - Mauricie et Centre-du-Québec,6,151,214,21,98,5,495,4.8 %
05,05 - Estrie,3,124,51,17,90,11,296,2.9 %
06,06 - Montréal,201,2717,712,130,644,70,4474,43.5 %
07,07 - Outaouais,8,63,32,13,41,1,158,1.5 %
08,08 - Abitibi-Témiscamingue,0,0,6,0,1,0,7,0.1 %
09,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.4 %
12,12 - Chaudière-Appalaches,5,104,67,6,98,4,284,2.8 %
13,13 - Laval,2,507,125,51,169,6,860,8.4 %
14,14 - Lanaudière,3,249,111,11,112,2,488,4.7 %
15,15 - Laurentides,64,173,84,48,79,14,462,4.5 %
16,16 - Montérégie,15,603,330,59,442,8,1457,14.2 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),313,5300,1970,386,2169,154,10292,
9999,Ensemble du Québec (%),3.0 %,51.5 %,19.1 %,3.8 %,21.1 %,1.5 %,.,100.0 %

