Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;6322
02 - Saguenay – Lac-Saint-Jean;10188
03 - Capitale-Nationale;31165
04 - Mauricie-et-Centre-du-Québec;16533
05 - Estrie;14864
06 - Montréal;86 833
07 - Outaouais;11280
08 - Abitibi-Témiscamingue;9572
09 - Côte-Nord;17 327
10 - Nord-du-Québec;7398
11 - Gaspésie – Îles-de-la-Madeleine;9178
12 - Chaudière-Appalaches;13029
13 - Laval;12032
14 - Lanaudière;15189
15 - Laurentides;16001
16 - Montérégie;37377
17 - Nunavik;3929
18 - Terres-Cries-de-la-Baie-James;9908
Inconnu;1199
Total;329 324
