Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      1458,       812,       55.7,       310,       21.3,       336,       23.0,        30,n.d.,n.d.,n.d.,n.d.,        28,       93.3
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,      8583,      4258,       49.6,      1930,       22.5,      2395,       27.9,       261,        12,        4.6,        20,        7.7,       229,       87.7
Région,RSS03,03 - Capitale-Nationale,     20734,     11349,       54.7,      4013,       19.4,      5372,       25.9,       952,        25,        2.6,        80,        8.4,       847,       89.0
Région,RSS04,04 - Mauricie et Centre-du-Québec,     12057,      6651,       55.2,      2391,       19.8,      3015,       25.0,       486,        16,        3.3,        24,        4.9,       446,       91.8
Région,RSS05,05 - Estrie,     10614,      6025,       56.8,      2085,       19.6,      2504,       23.6,       290,n.d.,n.d.,n.d.,n.d.,       263,       90.7
Région,RSS06,06 - Montréal,     88487,     48682,       55.0,     16174,       18.3,     23631,       26.7,      4362,       123,        2.8,       228,        5.2,      4011,       92.0
Région,RSS07,07 - Outaouais,      5385,      3117,       57.9,       947,       17.6,      1321,       24.5,       155,n.d.,n.d.,n.d.,n.d.,       139,       89.7
Région,RSS08,08 - Abitibi-Témiscamingue,       744,       440,       59.1,       180,       24.2,       124,       16.7,         7,n.d.,n.d.,n.d.,n.d.,         5,       71.4
Région,RSS09,09 - Côte-Nord,       325,       205,       63.1,        65,       20.0,        55,       16.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,        84,        45,       53.6,        15,       17.9,        24,       28.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      1658,       811,       48.9,       355,       21.4,       492,       29.7,        45,n.d.,n.d.,n.d.,n.d.,        40,       88.9
Région,RSS12,12 - Chaudière-Appalaches,     11217,      6441,       57.4,      2238,       20.0,      2538,       22.6,       281,         7,        2.5,        25,        8.9,       249,       88.6
Région,RSS13,13 - Laval,     22385,     13253,       59.2,      4505,       20.1,      4627,       20.7,       847,         9,        1.1,        57,        6.7,       781,       92.2
Région,RSS14,14 - Lanaudière,     18919,     11054,       58.4,      3909,       20.7,      3956,       20.9,       480,        16,        3.3,        27,        5.6,       437,       91.0
Région,RSS15,15 - Laurentides,     15045,      8687,       57.7,      2970,       19.7,      3388,       22.5,       455,        17,        3.7,        31,        6.8,       407,       89.5
Région,RSS16,16 - Montérégie,     38293,     21192,       55.3,      7639,       19.9,      9462,       24.7,      1436,        44,        3.1,        86,        6.0,      1306,       90.9
Région,RSS17,17 - Nunavik,        36,        20,       55.6,         5,       13.9,        11,       30.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       102,        59,       57.8,        13,       12.7,        30,       29.4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    256149,    143121,       55.9,     49745,       19.4,     63283,       24.7,     10092,       282,        2.8,       619,        6.1,      9191,       91.1
Groupe d'âge,0_9,Moins de 10 ans,     18158,     15293,       84.2,      2322,       12.8,       543,        3.0,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     29555,     24434,       82.7,      4289,       14.5,       832,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     35995,     28983,       80.5,      5275,       14.7,      1737,        4.8,         6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     34205,     23701,       69.3,      7242,       21.2,      3262,        9.5,        14,n.d.,n.d.,n.d.,n.d.,        10,       71.4
Groupe d'âge,40_49,40-49 ans,     38257,     23637,       61.8,      9290,       24.3,      5330,       13.9,        33,         9,       27.3,         6,       18.2,        18,       54.5
Groupe d'âge,50_59,50-59 ans,     35189,     17320,       49.2,     10100,       28.7,      7769,       22.1,       165,        26,       15.8,        21,       12.7,       118,       71.5
Groupe d'âge,60_69,60-69 ans,     21970,      7141,       32.5,      6126,       27.9,      8703,       39.6,       577,        42,        7.3,        55,        9.5,       480,       83.2
Groupe d'âge,70_79,70-79 ans,     15157,      1745,       11.5,      2751,       18.2,     10661,       70.3,      1899,        64,        3.4,       149,        7.8,      1686,       88.8
Groupe d'âge,80_89,80-89 ans,     17169,       616,        3.6,      1653,        9.6,     14900,       86.8,      4027,        63,        1.6,       234,        5.8,      3730,       92.6
Groupe d'âge,90_,90 ans et plus,     10494,       251,        2.4,       697,        6.6,      9546,       91.0,      3370,        72,        2.1,       151,        4.5,      3147,       93.4
