"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;15839
02 - Saguenay - Lac-Saint-Jean;20775
03 - Capitale-Nationale;63349
04 - Mauricie et Centre-du-Québec;42856
05 - Estrie;33950
06 - Montréal;302746
07 - Outaouais;23878
08 - Abitibi-Témiscamingue;14786
09 - Côte-Nord;20358
10 - Nord-du-Québec;8667
11 - Gaspésie - Îles-de-la-Madeleine;14810
12 - Chaudière-Appalaches;31447
13 - Laval;49104
14 - Lanaudière;44507
15 - Laurentides;46924
16 - Montérégie;120292
17 - Nunavik;5120
18 - Terres-Cries-de-la-Baie-James;10470
Inconnue;2581
Total;872459
