RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,Autres variants,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés
01 - Bas-Saint-Laurent,,,,,0,3,3
02 - Saguenay–Lac-Saint-Jean,,,,,0,2,2
03 - Capitale-Nationale,12,,,,12,227,215
04 - Mauricie et Centre-du-Québec,,,,,0,18,18
05 - Estrie,9,,,,9,49,40
06 - Montréal,323,1,1,2,327,1625,1298
07 - Outaouais,,,,,0,134,134
08 - Abitibi-Témiscamingue,,100,,,100,158,58
09 - Côte-Nord,,,,,0,0,0
10 - Nord-du-Québec,,,,,0,0,0
11 - Gaspésie–Îles-de-la-Madeleine,,,,,0,0,0
12 - Chaudière-Appalaches,,,,,0,73,73
13 - Laval,29,,,,29,358,329
14 - Lanaudière,8,2,,,10,139,129
15 - Laurentides,32,1,,,33,222,189
16 - Montérégie,18,2,,,20,135,115
Inconnu,,1,,,1,126,125
Hors Québec,,,,,0,2,2
Ensemble du Québec,431,107,1,2,541,3271,2730
