,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,18455,102,18416,39,132,2,16934,1389,197738.33333,9333.04,702.71,66.75,116,656,21
02,02 - Saguenay-Lac-Saint-Jean,27787,93,27426,361,388,3,26154,1245,278600,9973.80,446.88,139.27,104,1354,13
03,03 - Capitale-Nationale,82577,273,82216,361,1472,4,78048,3057,761103.66667,10849.64,398.78,193.40,310,3703,28
04,04 - Mauricie et Centre-du-Québec,54516,205,54276,240,928,2,51054,2534,527666.66667,10331.52,477.86,175.87,201,2740,31
05,05 - Estrie,45797,143,45272,525,560,6,43732,1505,502406,9115.54,296.27,111.46,109,2267,16
06,06 - Montréal,295530,489,292167,3363,5382,5,284282,5866,2061667.3333,14334.51,283.18,261.05,586,14805,46
07,07 - Outaouais,37534,76,37088,446,297,2,36386,851,405378.66667,9259.00,207.69,73.26,78,1590,12
08,08 - Abitibi-Témiscamingue,9740,43,9699,41,99,1,9152,489,147876.33333,6586.58,330.54,66.95,82,540,3
09,09 - Côte-Nord,7358,39,7332,26,42,0,6729,587,90082.333333,8168.08,654.64,46.62,34,399,2
10,10 - Nord-du-Québec,1261,8,1047,214,4,0,1219,38,13383.666667,9421.93,285.63,29.89,6,41,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8076,48,8039,37,67,0,7310,699,90783.333333,8895.91,769.01,73.80,56,341,2
12,12 - Chaudière-Appalaches,58012,189,57729,283,588,2,55267,2157,434525.66667,13350.65,494.08,135.32,197,2189,23
13,13 - Laval,68679,140,66717,1962,1061,2,66391,1227,445993.33333,15399.11,272.59,237.90,94,2911,11
14,14 - Lanaudière,66162,153,65446,716,734,1,63903,1525,530581,12469.73,283.98,138.34,123,2498,18
15,15 - Laurentides,74432,193,73826,606,718,1,71481,2233,640046.66667,11629.15,344.22,112.18,163,3149,18
16,16 - Montérégie,139327,368,137416,1911,2081,4,132758,4488,1452381.3333,9593.00,305.97,143.28,355,6902,46
17,17 - Nunavik,2877,4,2872,5,10,0,2822,45,14619,19679.87,302.60,68.40,3,89,0
18,18 - Terres-Cries-de-la-Baie-James,2576,27,2193,383,14,0,2356,206,18660.333333,13804.68,1085.87,75.03,35,78,1
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,355,2
99,Hors Québec,2791,3,2783,8,2,0,2758,31,.,.,.,.,8,0,0
999,Ensemble du Québec,1003491,2596,991963,11528,14579,35,958740,30172,8613493.6667,11650.22,347.72,169.26,2660,46607,293

