"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;13290
02 - Saguenay - Lac-Saint-Jean;16348
03 - Capitale-Nationale;48877
04 - Mauricie et Centre-du-Québec;32635
05 - Estrie;25880
06 - Montréal;255254
07 - Outaouais;18422
08 - Abitibi-Témiscamingue;13292
09 - Côte-Nord;18781
10 - Nord-du-Québec;8539
11 - Gaspésie - Îles-de-la-Madeleine;11516
12 - Chaudière-Appalaches;26719
13 - Laval;43718
14 - Lanaudière;35050
15 - Laurentides;38698
16 - Montérégie;91443
17 - Nunavik;5005
18 - Terres-Cries-de-la-Baie-James;10449
Inconnue;1665
Total;715581
