RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,Autres variants,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés
01 - Bas-Saint-Laurent,,,,,0,2,2
02 - Saguenay–Lac-Saint-Jean,,,,,0,2,2
03 - Capitale-Nationale,3,,,,3,188,185
04 - Mauricie et Centre-du-Québec,,,,,0,10,10
05 - Estrie,5,,,,5,40,35
06 - Montréal,193,1,1,2,197,1178,981
07 - Outaouais,,,,,0,76,76
08 - Abitibi-Témiscamingue,,95,,,95,155,60
09 - Côte-Nord,,,,,0,0,0
10 - Nord-du-Québec,,,,,0,0,0
11 - Gaspésie–Îles-de-la-Madeleine,,,,,0,0,0
12 - Chaudière-Appalaches,,,,,0,22,22
13 - Laval,17,,,,17,259,242
14 - Lanaudière,6,1,,,7,96,89
15 - Laurentides,13,1,,,14,192,178
16 - Montérégie,4,,,,4,89,85
Inconnu,,1,,,1,117,116
Hors Québec,,,,,0,0,0
Ensemble du Québec,241,99,1,2,343,2426,2083
